,Unnamed: 0,Title,Description,Link
0,0,Mathematics for Computer Science,"This course covers elementary discrete mathematics for computer science and engineering. It emphasizes mathematical definitions and proofs as well as applicable methods. Topics include formal logic notation, proof methods; induction, well-ordering; sets, relations; elementary graph theory; integer congruences; asymptotic notation and growth of functions; permutations and combinations, counting principles; discrete probability. Further selected topics may also be covered, such as recursive definition and structural induction; state machines and invariants; recurrences; generating functions.",https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-fall-2010/
1,1,Mathematics for Computer Science,,https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-fall-2005/
2,2,Mathematics for Computer Science,,https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-spring-2015/
3,3,Computational Cognitive Science,"This course is an introduction to computational theories of human cognition. Drawing on formal models from classic and contemporary artificial intelligence, students will explore fundamental issues in human knowledge representation, inductive learning and reasoning. What are the forms that our knowledge of the world takes? What are the inductive principles that allow us to acquire new knowledge from the interaction of prior knowledge with observed data? What kinds of data must be available to human learners, and what kinds of innate knowledge (if any) must they have?",https://ocw.mit.edu/courses/9-66j-computational-cognitive-science-fall-2004/
4,4,Introduction to Computer Science and Programming,6.00 Intro to CS and Programming has been retired from OCW. You can access the archived course on DSpace – MIT’s digital repository. Please see the list of introductory programming courses and other programming courses from recent years.,https://ocw.mit.edu/courses/6-00-introduction-to-computer-science-and-programming-fall-2008/
5,5,Great Ideas in Theoretical Computer Science,"This course provides a challenging introduction to some of the central ideas of theoretical computer science. It attempts to present a vision of “computer science beyond computers”: that is, CS as a set of mathematical tools for understanding complex systems such as universes and minds. Beginning in antiquity—with Euclid’s algorithm and other ancient examples of computational thinking—the course will progress rapidly through propositional logic, Turing machines and computability, finite automata, Gödel’s theorems, efficient algorithms and reducibility, NP-completeness, the P versus NP problem, decision trees and other concrete computational models, the power of randomness, cryptography and one-way functions, computational theories of learning, interactive proofs, and quantum computing and the physical limits of computation. Class participation is essential, as the class will include discussion and debate about the implications of many of these ideas.",https://ocw.mit.edu/courses/6-080-great-ideas-in-theoretical-computer-science-spring-2008/
6,6,Introduction to Computer Science and Programming,6.00SC Intro to CS and Programming has been retired from OCW. You can access the archived course on DSpace – MIT’s digital repository. Please see the list of introductory programming courses and other programming courses from recent years.,https://ocw.mit.edu/courses/6-00sc-introduction-to-computer-science-and-programming-spring-2011/
7,7,Introduction to Computer Science and Programming in Python,"6.0001 Introduction to Computer Science and Programming in Python is intended for students with little or no programming experience. It aims to provide students with an understanding of the role computation can play in solving problems and to help students, regardless of their major, feel justifiably confident of their ability to write small programs that allow them to accomplish useful goals. The class uses the Python 3.5 programming language.",https://ocw.mit.edu/courses/6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016/
8,8,Introduction to Electrical Engineering and Computer Science I,,https://ocw.mit.edu/courses/6-01sc-introduction-to-electrical-engineering-and-computer-science-i-spring-2011/
9,9,Introduction to Computational Thinking and Data Science,"6.0002 is the continuation of 6.0001 Introduction to Computer Science and Programming in Python and is intended for students with little or no programming experience. It aims to provide students with an understanding of the role computation can play in solving problems and to help students, regardless of their major, feel justifiably confident of their ability to write small programs that allow them to accomplish useful goals. The class uses the Python 3.5 programming language.",https://ocw.mit.edu/courses/6-0002-introduction-to-computational-thinking-and-data-science-fall-2016/
10,10,Computational Biology,"This course covers the algorithmic and machine learning foundations of computational biology combining theory with practice. We cover both foundational topics in computational biology, and current research frontiers. We study fundamental techniques, recent advances in the field, and work directly with current large-scale biological datasets.",https://ocw.mit.edu/courses/6-047-computational-biology-fall-2015/
11,11,Algorithms for Computer Animation,"Animation is a compelling and effective form of expression; it engages viewers and makes difficult concepts easier to grasp. Today’s animation industry creates films, special effects, and games with stunning visual detail and quality. This graduate class will investigate the algorithms that make these animations possible: keyframing, inverse kinematics, physical simulation, optimization, optimal control, motion capture, and data-driven methods. Our study will also reveal the shortcomings of these sophisticated tools. The students will propose improvements and explore new methods for computer animation in semester-long research projects. The course should appeal to both students with general interest in computer graphics and students interested in new applications of machine learning, robotics, biomechanics, physics, applied mathematics and scientific computing.",https://ocw.mit.edu/courses/6-838-algorithms-for-computer-animation-fall-2002/
12,12,Network and Computer Security,"6.857 Network and Computer Security is an upper-level undergraduate, first-year graduate course on network and computer security. It fits within the Computer Systems and Architecture Engineering concentration.",https://ocw.mit.edu/courses/6-857-network-and-computer-security-spring-2014/
13,13,Theory of Computation,"This course emphasizes computability and computational complexity theory. Topics include regular and context-free languages, decidable and undecidable problems, reducibility, recursive function theory, time and space measures on computation, completeness, hierarchy theorems, inherently complex problems, oracles, probabilistic computation, and interactive proof systems.",https://ocw.mit.edu/courses/18-404j-theory-of-computation-fall-2020/
14,14,Parallel Computing,"This is an advanced interdisciplinary introduction to applied parallel computing on modern supercomputers. It has a hands-on emphasis on understanding the realities and myths of what is possible on the world’s fastest machines. We will make prominent use of the Julia Language, a free, open-source, high-performance dynamic programming language for technical computing.",https://ocw.mit.edu/courses/18-337j-parallel-computing-fall-2011/
15,15,Computation Structures,"This course introduces architecture of digital systems, emphasizing structural principles common to a wide range of technologies. It covers the topics including multilevel implementation strategies, definition of new primitives (e.g., gates, instructions, procedures, processes) and their mechanization using lower-level elements. It also includes analysis of potential concurrency, precedence constraints and performance measures, pipelined and multidimensional systems, instruction set design issues and architectural support for contemporary software structures.",https://ocw.mit.edu/courses/6-004-computation-structures-spring-2017/
16,16,"Automata, Computability, and Complexity","This course provides a challenging introduction to some of the central ideas of theoretical computer science. Beginning in antiquity, the course will progress through finite automata, circuits and decision trees, Turing machines and computability, efficient algorithms and reducibility, the P versus NP problem, NP-completeness, the power of randomness, cryptography and one-way functions, computational learning theory, and quantum computing. It examines the classes of problems that can and cannot be solved by various kinds of machines. It tries to explain the key differences between computational models that affect their power.",https://ocw.mit.edu/courses/6-045j-automata-computability-and-complexity-spring-2011/
17,17,Computation Structures,,https://ocw.mit.edu/courses/6-004-computation-structures-spring-2009/
18,18,Principles of Computer Systems,"6.826 provides an introduction to the basic principles of computer systems, with emphasis on the use of rigorous techniques as an aid to understanding and building modern computing systems. Particular attention is paid to concurrent and distributed systems. Topics covered include: specification and verification, concurrent algorithms, synchronization, naming, networking, replication techniques (including distributed cache management), and principles and algorithms for achieving reliability.",https://ocw.mit.edu/courses/6-826-principles-of-computer-systems-spring-2002/
19,19,Introduction to Computational Thinking,"This is an introductory course on computational thinking. We use the Julia programming language to approach real-world problems in varied areas, applying data analysis and computational and mathematical modeling. In this class you will learn computer science, software, algorithms, applications, and mathematics as an integrated whole. Topics include image analysis, particle dynamics and ray tracing, epidemic propagation, and climate modeling.",https://ocw.mit.edu/courses/18-s191-introduction-to-computational-thinking-fall-2020/
20,20,Biomedical Computing,"Analyzes computational needs of clinical medicine reviews systems and approaches that have been used to support those needs, and the relationship between clinical data and gene and protein measurements. Topics: the nature of clinical data; architecture and design of healthcare information systems; privacy and security issues; medical expertsystems; introduction to bioinformatics. Case studies and guest lectures describe contemporary systems and research projects. Term project using large clinical and genomic data sets integrates classroom topics.",https://ocw.mit.edu/courses/hst-950j-biomedical-computing-fall-2010/
21,21,Computational Functional Genomics,"The course focuses on casting contemporary problems in systems biology and functional genomics in computational terms and providing appropriate tools and methods to solve them. Topics include genome structure and function, transcriptional regulation, and stem cell biology in particular; measurement technologies such as microarrays (expression, protein-DNA interactions, chromatin structure); statistical data analysis, predictive and causal inference, and experiment design. The emphasis is on coupling problem structures (biological questions) with appropriate computational approaches.",https://ocw.mit.edu/courses/7-90j-computational-functional-genomics-spring-2005/
22,22,Introduction to Computational Thinking,,https://ocw.mit.edu/courses/18-s191-introduction-to-computational-thinking-fall-2022/
23,23,Computer Systems Security,"6.858 Computer Systems Security is a class about the design and implementation of secure computer systems. Lectures cover threat models, attacks that compromise security, and techniques for achieving security, based on recent research papers. Topics include operating system (OS) security, capabilities, information flow control, language security, network protocols, hardware security, and security in web applications.",https://ocw.mit.edu/courses/6-858-computer-systems-security-fall-2014/
24,24,Computer System Engineering,"This class covers topics on the engineering of computer software and hardware systems. Topics include techniques for controlling complexity; strong modularity using client-server design, operating systems; performance, networks; naming; security and privacy; fault-tolerant systems, atomicity and coordination of concurrent activities, and recovery; impact of computer systems on society.",https://ocw.mit.edu/courses/6-033-computer-system-engineering-spring-2018/
25,25,Computer Networks,,https://ocw.mit.edu/courses/6-829-computer-networks-fall-2002/
26,26,Medical Computing,"The focus of the course is on medical science and practice in the age of automation and the genome, both present and future.
It ncludes an analysis of the computational needs of clinical medicine, a review systems and approaches that have been used to support those needs, and an examination of new technologies.",https://ocw.mit.edu/courses/hst-950j-medical-computing-spring-2003/
27,27,Computer Language Engineering,"This course analyzes issues associated with the implementation of higher-level programming languages. Topics covered include: fundamental concepts, functions, and structures of compilers, the interaction of theory and practice, and using tools in building software. The course includes a multi-person project on compiler design and implementation.",https://ocw.mit.edu/courses/6-035-computer-language-engineering-spring-2010/
28,28,Computational Evolutionary Biology,,https://ocw.mit.edu/courses/6-877j-computational-evolutionary-biology-fall-2005/
29,29,Algorithms for Computational Biology,"This course is offered to undergraduates and addresses several algorithmic challenges in computational biology. The principles of algorithmic design for biological datasets are studied and existing algorithms analyzed for application to real datasets. Topics covered include: biological sequence analysis, gene identification, regulatory motif discovery, genome assembly, genome duplication and rearrangements, evolutionary theory, clustering algorithms, and scale-free networks.",https://ocw.mit.edu/courses/6-096-algorithms-for-computational-biology-spring-2005/
30,30,Algorithms for Computational Biology,"This course is offered to undergraduates and addresses several algorithmic challenges in computational biology. The principles of algorithmic design for biological datasets are studied and existing algorithms analyzed for application to real datasets. Topics covered include: biological sequence analysis, gene identification, regulatory motif discovery, genome assembly, genome duplication and rearrangements, evolutionary theory, clustering algorithms, and scale-free networks.",https://ocw.mit.edu/courses/6-096-algorithms-for-computational-biology-spring-2005/
31,31,Computer Graphics,"This course provides introduction to computer graphics algorithms, software and hardware. Topics include: ray tracing, the graphics pipeline, transformations, texture mapping, shadows, sampling, global illumination, splines, animation and color. This course offers 6 Engineering Design Points in MIT’s EECS program.",https://ocw.mit.edu/courses/6-837-computer-graphics-fall-2012/
32,32,Computational Models of Discourse,,https://ocw.mit.edu/courses/6-892-computational-models-of-discourse-spring-2004/
33,33,Projects in Microscale Engineering for the Life Sciences,"This course is a project-based introduction to manipulating and characterizing cells and biological molecules using microfabricated tools. It is designed for first year undergraduate students. In the first half of the term, students perform laboratory exercises designed to introduce (1) the design, manufacture, and use of microfluidic channels, (2) techniques for sorting and manipulating cells and biomolecules, and (3) making quantitative measurements using optical detection and fluorescent labeling. In the second half of the term, students work in small groups to design and test a microfluidic device to solve a real-world problem of their choosing. Includes exercises in written and oral communication and team building.",https://ocw.mit.edu/courses/hst-410j-projects-in-microscale-engineering-for-the-life-sciences-spring-2007/
34,34,Ethics for Engineers: Artificial Intelligence,"Artificial Intelligence (AI), and the algorithmic judgment at its core, is developing at breakneck speed. This version of the popular Ethics for Engineers course focuses on the ethics issues involved in the latest developments of computer science.",https://ocw.mit.edu/courses/10-01-ethics-for-engineers-artificial-intelligence-spring-2020/
35,35,Structure and Interpretation of Computer Programs,"This course introduces students to the principles of computation. Upon completion of 6.001, students should be able to explain and apply the basic methods from programming languages to analyze computational systems, and to generate computational solutions to abstract problems. Substantial weekly programming assignments are an integral part of the course. This course is worth 4 Engineering Design Points.",https://ocw.mit.edu/courses/6-001-structure-and-interpretation-of-computer-programs-spring-2005/
36,36,Foundations of Computational and Systems Biology,"This course is an introduction to computational biology emphasizing the fundamentals of nucleic acid and protein sequence and structural analysis; it also includes an introduction to the analysis of complex biological systems. Topics covered in the course include principles and methods used for sequence alignment, motif finding, structural modeling, structure prediction and network modeling, as well as currently emerging research areas.",https://ocw.mit.edu/courses/7-91j-foundations-of-computational-and-systems-biology-spring-2014/
37,37,The Art of Approximation in Science and Engineering,"This course teaches simple reasoning techniques for complex phenomena: divide and conquer, dimensional analysis, extreme cases, continuity, scaling, successive approximation, balancing, cheap calculus, and symmetry. Applications are drawn from the physical and biological sciences, mathematics, and engineering. Examples include bird and machine flight, neuron biophysics, weather, prime numbers, and animal locomotion. Emphasis is on low-cost experiments to test ideas and on fostering curiosity about phenomena in the world.",https://ocw.mit.edu/courses/6-055j-the-art-of-approximation-in-science-and-engineering-spring-2008/
38,38,Teaching College-Level Science and Engineering,"This participatory seminar focuses on the knowledge and skills necessary for teaching science and engineering in higher education. It is designed for graduate students interested in an academic career, and anyone else interested in teaching. Students research and present a relevant topic of particular interest. The subject is appropriate for both novices and those with teaching experience.",https://ocw.mit.edu/courses/5-95j-teaching-college-level-science-and-engineering-fall-2015/
39,39,Foundations of Algorithms and Computational Techniques in Systems Biology,"This subject describes and illustrates computational approaches to solving problems in systems biology. A series of case-studies will be explored that demonstrate how an effective match between the statement of a biological problem and the selection of an appropriate algorithm or computational technique can lead to fundamental advances. The subject will cover several discrete and numerical algorithms used in simulation, feature extraction, and optimization for molecular, network, and systems models in biology.",https://ocw.mit.edu/courses/20-482j-foundations-of-algorithms-and-computational-techniques-in-systems-biology-spring-2006/
40,40,Computer System Architecture,6.823 is a course in the department’s “Computer Systems and Architecture” concentration. 6.823 is a study of the evolution of computer architecture and the factors influencing the design of hardware and software elements of computer systems. Topics may include: instruction set design; processor micro-architecture and pipelining; cache and virtual memory organizations; protection and sharing; I/O and interrupts; in-order and out-of-order superscalar architectures; VLIW machines; vector supercomputers; multithreaded architectures; symmetric multiprocessors; and parallel computers.,https://ocw.mit.edu/courses/6-823-computer-system-architecture-fall-2005/
41,41,Quantum Information Science,"This is an advanced graduate course on quantum computation and quantum information, for which prior knowledge of quantum mechanics is required. Topics include quantum computation, advanced quantum error correction codes, fault tolerance, quantum algorithms beyond factoring, properties of quantum entanglement, and quantum protocols and communication complexity.",https://ocw.mit.edu/courses/mas-865j-quantum-information-science-spring-2006/
42,42,Computer Language Engineering (SMA 5502),,https://ocw.mit.edu/courses/6-035-computer-language-engineering-sma-5502-fall-2005/
43,43,Teaching College-Level Science and Engineering,"This participatory seminar focuses on the knowledge and skills necessary for teaching science and engineering in higher education. This course is designed for graduate students interested in an academic career, and anyone else interested in teaching. Readings and discussions include: teaching equations for understanding, designing exam and homework questions, incorporating histories of science, creating absorbing lectures, teaching for transfer, the evils of PowerPoint, and planning a course. The subject is appropriate for both novices and those with teaching experience.",https://ocw.mit.edu/courses/5-95j-teaching-college-level-science-and-engineering-spring-2009/
44,44,Distributed Computer Systems Engineering,"This course covers abstractions and implementation techniques for the design of distributed systems. Topics include: server design, network programming, naming, storage systems, security, and fault tolerance. The assigned readings for the course are from current literature. This course is worth 6 Engineering Design Points.",https://ocw.mit.edu/courses/6-824-distributed-computer-systems-engineering-spring-2006/
45,45,Classical Mechanics: A Computational Approach,,https://ocw.mit.edu/courses/12-620j-classical-mechanics-a-computational-approach-fall-2008/
46,46,Advanced Algorithms,"This is a graduate course on the design and analysis of algorithms, covering several advanced topics not studied in typical introductory courses on algorithms. It is especially designed for doctoral students interested in theoretical computer science.",https://ocw.mit.edu/courses/6-854j-advanced-algorithms-fall-2008/
47,47,Computational Personal Genomics: Making Sense of Complete Genomes,"With the growing availability and lowering costs of genotyping and personal genome sequencing, the focus has shifted from the ability to obtain the sequence to the ability to make sense of the resulting information. This course is aimed at exploring the computational challenges associated with interpreting how sequence differences between individuals lead to phenotypic differences in gene expression, disease predisposition, or response to treatment.",https://ocw.mit.edu/courses/6-881-computational-personal-genomics-making-sense-of-complete-genomes-spring-2016/
48,48,Natural Language and the Computer Representation of Knowledge,"6.863 is a laboratory-oriented course on the theory and practice of building computer systems for human language processing, with an emphasis on the linguistic, cognitive, and engineering foundations for understanding their design.",https://ocw.mit.edu/courses/6-863j-natural-language-and-the-computer-representation-of-knowledge-spring-2003/
49,49,Pervasive Human Centric Computing (SMA 5508),,https://ocw.mit.edu/courses/6-883-pervasive-human-centric-computing-sma-5508-spring-2006/
50,50,Cryptography and Cryptanalysis,"This course features a rigorous introduction to modern cryptography, with an emphasis on the fundamental cryptographic primitives of public-key encryption, digital signatures, pseudo-random number generation, and basic protocols and their computational complexity requirements.",https://ocw.mit.edu/courses/6-875-cryptography-and-cryptanalysis-spring-2005/
51,51,Essential Coding Theory,,https://ocw.mit.edu/courses/6-895-essential-coding-theory-fall-2004/
52,52,Climate Change Seminar,"This course provides a broad overview of issues related to climate change, with an emphasis on those aspects most relevant to computer scientists. Topics include climate science, climate models and simulations, decision-making under uncertainty, economics, mitigation strategies, adaptation strategies, geoengineering, policy-making, messaging, and politics.The course will culminate in a presentation of a research project which might include a paper, a blog, software etc.",https://ocw.mit.edu/courses/6-s898-climate-change-seminar-fall-2019/
53,53,Information and Entropy,"This course explores the ultimate limits to communication and computation, with an emphasis on the physical nature of information and information processing. Topics include: information and computation, digital signals, codes and compression, applications such as biological representations of information, logic circuits, computer architectures, and algorithmic information, noise, probability, error correction, reversible and irreversible operations, physics of computation, and quantum computation. The concept of entropy is applied to channel capacity and to the second law of thermodynamics.",https://ocw.mit.edu/courses/6-050j-information-and-entropy-spring-2008/
