,Title,Description,Link
0,Data Structures and Performance,"How do Java programs deal with vast quantities of data? Many of the data structures and algorithms that work with introductory toy examples break when applications process real, large data sets.  Efficiency is critical, but how do we achieve it, and how do we even measure it? This is an intermediate Java course. We recommend this course to learners who have previous experience in software development or a background in computer science, and in particular, we recommend that you have taken the first course in this specialization (which also requires some previous experience with Java).  

In this course, you will use and analyze data structures that are used in industry-level applications, such as linked lists, trees, and hashtables.  You will explain how these data structures make programs more efficient and flexible.  You will apply asymptotic Big-O analysis to describe the performance of algorithms and evaluate which strategy to use for efficient data retrieval, addition of new data, deletion of elements, and/or memory usage.

The program you will build throughout this course allows its user to manage, manipulate and reason about large sets of textual data.  This is an intermediate Java course, and we will build on your prior knowledge.  This course is designed around  the same video series as in our first course in this specialization, including explanations of core content, learner videos, student and engineer testimonials, and support videos -- to better allow you to choose your own path through the course!",https://www.coursera.org/learn/data-structures-optimizing-performance
1,"Get Started with Cloud Native, DevOps, Agile, and NoSQL","Would you like to explore the complete process of developing cloud-native applications from inception to implementation? This course covers essential cloud concepts such as Cloud Native Applications and CNCF and their impact on cloud application developers. You'll delve into specific tools and techniques for building cloud-native apps.  Next, you'll discover how to enhance your organization's culture through DevOps. You'll ensure consistent behavior and maintain high code quality by experimenting with various approaches, such as test-driven and behavior-driven development. 

Furthermore, you will explore the benefits of implementing Continuous Integration and Continuous Delivery practices alongside Agile methodologies and Scrum practices and how aligning teams and promoting autonomy contributes to developing superior systems. The course also covers critical MongoDB principles, offering an in-depth understanding of its characteristics. Additionally, you'll gain insights into IBM Cloudant, exploring its architecture, technologies, advantages, and everyday use cases. 

Finally, you'll undertake a final project where you'll deploy and modernize an application, create user stories, enhance functionality, and redeploy using CI/CD. This project will be an excellent addition to your portfolio, displaying your newfound skills.",https://www.coursera.org/learn/cloud-native-devops-agile-nosql
2,Linux Kernel Programming and Introduction to Yocto Project,"This course provides an introduction to Kernel Driver development for the Linux operating system. The Yocto build system is introduced, which students use to build their own custom Embedded Linux system through programming assignments. Linux Kernel Programming and Introduction to Yocto Project can also be taken for academic credit as ECEA 5306, part of CU Boulder’s Master of Science in Electrical Engineering.

This course builds on the assignments and knowledge obtained in the Linux System Programming and Introduction to Buildroot, which must be completed before starting this course.",https://www.coursera.org/learn/linux-kernel-programming-yocto-project
3,Arm Cortex-M Processors Overview,"This course is designed for anyone wishing to learn about the range of Cortex-M processors and the different resources that can help you with your Cortex-M project. The course begins with a bit of history about Arm processors and the Arm architecture, covering the differences between the M-profile and other architecture profiles like A-profile and R-profile. This course is suitable for beginners or people without an engineering or computer science background. The introductory material also sets the scene for the courses 2, 3 and 4.",https://www.coursera.org/learn/arm-cortex-m-processors-overview-course1
4,"Blockchain, Cryptoassets, and Decentralized Finance","Today, large intermediaries establish trust in our economy and control the movement, storage, and allocation of money and assets. The status quo, however, is rife with inefficiencies. In this course, we’ll address the many challenges of the status quo and discuss how cryptoassets, smart contracts, new identity systems, and new financial business models can help overcome them. You’ll learn how blockchain technology empowers individuals, entrepreneurs, and businesses with the tools they need to help level the playing field and to participate in the value they create. By the end of this course, you’ll learn how and why transacting on the blockchain can help us bring about a future that is faster, fairer, and more distributed than the world we inhabit today.",https://www.coursera.org/learn/blockchain-crypto-decentralized-finance
5,Camera and Imaging,"This course covers the fundamentals of imaging – the creation of an image that is ready for consumption or processing by a human or a machine. Imaging has a long history, spanning several centuries. But the advances made in the last three decades have revolutionized the camera and dramatically improved the robustness and accuracy of computer vision systems. We describe the fundamentals of imaging, as well as recent innovations in imaging that have had a profound impact on computer vision. This course starts with examining how an image is formed using a lens camera. We explore the optical characteristics of a camera such as its magnification, F-number, depth of field and field of view. Next, we describe how solid-state image sensors (CCD and CMOS) record images, and the key properties of an image sensor such as its resolution, noise characteristics and dynamic range. We describe how image sensors can be used to sense color as well as capture images with high dynamic range. In certain structured environments, an image can be thresholded to produce a binary image from which various geometric properties of objects can be computed and used for recognizing and locating objects. Finally, we present the fundamentals of image processing – the development of computational tools to process a captured image to make it cleaner (denoising, deblurring, etc.) and easier for computer vision systems to analyze (linear and non-linear image filtering methods).",https://www.coursera.org/learn/cameraandimaging
6,"Developing AR/VR/MR/XR Apps with WebXR, Unity & Unreal","This third course in the XR for Everybody specialization is geared toward the technical development of XR experiences. The course provides learners with a more technical mental model of XR technologies and the tools to approach XR development with confidence. It walks through the stages of development for both VR and AR projects, introducing the main XR development platforms as well as the key methods and tools. This third course also helps learners infer advanced XR requirements from physical/digital prototypes and teaches them how to differentiate major technical concerns, estimate development costs, and plan research necessary to advance XR. This course also has an honors track that guides learners in the implementation of 3D, VR, and AR scenes in WebXR using A-Frame and in Unity, and helps them generate a development plan with clear milestones and deliverables.",https://www.coursera.org/learn/develop-augmented-virtual-mixed-extended-reality-applications-webxr-unity-unreal
7,Frontend Development using Angular,"This course is tailored for those interested in web development, and it will equip you with the skills and knowledge needed to become proficient in Angular. In the first module, Introduction to HTML & CSS, you'll explore the foundational principles of HTML and CSS, vital for creating web pages. You'll learn how to structure an HTML document and use CSS to stylize your web page's layout.

The second module, Introduction to JavaScript Programming, dives into JavaScript, a critical language for web development. You'll gain a comprehensive insight into variables, data types, control structures, functions, and other core concepts, enabling you to create robust and dynamic web applications.

Finally, in the third module, Angular for Frontend Development, you'll be guided into Angular, a popular JavaScript framework known for building scalable and dynamic web applications. You'll master essential concepts such as components, modules, directives, services, and templates, enabling you to create complex, maintainable, and scalable web applications.

Throughout this course, hands-on exercises, quizzes, and assignments will enable you to actively grasp and apply the concepts learned. By the end of the course, you'll be proficient in using Angular to create frontend applications, and you'll be prepared to explore more advanced topics in subsequent courses in the specialization.",https://www.coursera.org/learn/frontend-development-using-angular
8,Working with Data,"This course expands upon the knowledge you gained from the React Native course, and will prepare you to make more informed decisions about how you access, store, retrieve and present data within your React Native applications. The course is designed to be completed over five weeks. You will learn about data and databases in a more general sense, and then proceed to become familiar with tools and practices for working with data specifically in React Native.

By the end of this course you will be able to:

• Explain what REST APIs are and identify best practices for working with them
• Make network calls to retrieve online content and handle responses from the server
• Create databases and tables and use SQL to store data in them in a structured, relational way
• Read and write data for a mobile application using AsyncStorage
• Read and write data for a mobile application using SQLite

To complete this course, you will need React Native experience.  Additionally, it always helps to have a can-do attitude!",https://www.coursera.org/learn/meta-working-with-data
9,"Programming Languages, Part C","[As described below, this is Part C of a 3-part course.  Participants should complete Parts A and B first -- Part C ""dives right in"" and refers often to material from Part A and Part B.] This course is an introduction to the basic concepts of programming languages, with a strong emphasis on functional programming. The course uses the languages ML, Racket, and Ruby as vehicles for teaching the concepts, but the real intent is to teach enough about how any language “fits together” to make you more effective programming in any language -- and in learning new ones.

This course is neither particularly theoretical nor just about programming specifics -- it will give you a framework for understanding how to use language constructs effectively and how to design correct and elegant programs. By using different languages, you will learn to think more deeply than in terms of the particular syntax of one language. The emphasis on functional programming is essential for learning how to write robust, reusable, composable, and elegant programs. Indeed, many of the most important ideas in modern languages have their roots in functional programming. Get ready to learn a fresh and beautiful way to look at software and how to have fun building it.

The course assumes some prior experience with programming, as described in more detail in the first module of Part A.  Part B assumes successful completion of Part A.

The course is divided into three Coursera courses: Part A, Part B, and Part C.  As explained in more detail in the first module of Part A, the overall course is a substantial amount of challenging material, so the three-part format provides two intermediate milestones and opportunities for a pause before continuing.  The three parts are designed to be completed in order and set up to motivate you to continue through to the end of Part C.  

Week 1 of Part A has a more detailed list of topics for all three parts of the course, but it is expected that most course participants will not (yet!) know what all these topics mean.",https://www.coursera.org/learn/programming-languages-part-c
